,user,comments,processed_comment
191,❤️,이거 작사 작곡 누구에요????,"['거', '작사', '작곡', '누구']"
192,goq***,ㄹㅇ 벚꽃연금 ㅋㅋㅋㅋㅋㅋ진짜 띵곡,"['벚꽃', '연금', '진짜', '띵곡']"
193,블링꽁,봄이오면 귀신같이 차트인하넼ㅋㅋㅋㅋㅋㅋㅋ하긴생각나,"['보다', '귀신', '차트', '인하다', '하다', '생각나다']"
194,swi***,또 슬금슬금 올라온다ㅋㅋㅋ,"['또', '슬금슬금', '올라오다']"
195,garden_,어제 봄비가 내려왔네요. 이제 이 노래 올라가는건가요?,"['어제', '봄비', '내려오다', '이제', '이', '노래', '올라가다', '가요']"
196,갓홍님,사스날 무엇 ㅋㅋㅋ,"['사스', '날', '무엇']"
197,ehd***,듣지마 ㅈㄹ하고 자빠졌네  (특유의...말투부터 ㅈ찐ㄸ ㅏ),"['듣다', '하다', '자빠지다', '특유', '말투', '찌다']"
198,sch***,듣기싫음 안들어도 상관없는데 그렇게 싫은 사람이 굳이 여기까지와서 댓글을...? 좋은노래 분위기 해치지 마쇼,"['듣기', '싫다', '들다', '상관없다', '싫다', '사람', '굳이', '여기', '서다', '댓글', '좋다', '노래', '분위기', '해치', '마쇼']"
199,bal***,ㅇㅈㅋㅋㅋㅋㅋ이정도면 자신과의 싸움인데욬ㅋㅋㅋㅋㅋ,"['정도', '자신', '싸우다']"
200,쥬야,작사작곡 장범준,"['작사', '작곡', '장범준']"
201,모구,형님 올라가시쥬,"['형님', '올라가다', '쥬']"
202,hee***,이제는 이걸 들어야만 봄같달까.. 이번봄도 따듯하고 이쁜사랑들 하시길♡,"['이제', '걸', '들다', '봄', '같다', '달다', '이번', '봄', '따다', '듯', '이쁘다', '사랑', '하다']"
203,가나가라바,지나가다 들러요,"['지나가다', '들다']"
204,mem***,봄만 되면 장범준 떼돈 버는 날,"['봄', '되다', '장범준', '떼돈', '버', '날']"
205,ijo***,또 올라갑니다~_~💕💕💕💕,"['또', '올라가다']"
206,광배밍구리,누군가에겐 좋고 싫고 노래의 이중성,"['누군가', '좋다', '싫다', '노래', '이중성']"
207,sto***,2019년 들으시는분?,"['들다', '분']"
208,bbm***,차트 몇위져 ??,"['차트', '위져']"
209,oho***,가자 좀비들아,"['가다', '좀비']"
210,지이니이♡,와 미친 차트 진입 실화야? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"['오다', '미치다', '차트', '진입', '실화']"
211,ㅎㅇ,ㅋㅋ또 나왓어 ㅋㅋ 진짜 좀비다 ㅋㅋㅋ,"['또', '나왓어', '진짜', '좀비']"
212,tjd***,아 차트떳네 봄시작이다,"['차트떳', '봄', '시작']"
213,디니,이걸로 얼마나 벌었을까...부럽다,"['것', '얼마나', '벌다', '부럽다']"
214,ans***,내 스무살을 함께해줘서 고마운 노래..벌써 7년째네 ㅎㅎ내년에도 만나자,"['내', '스무살', '해주다', '고맙다', '노래', '벌써', '내년', '만나다']"
215,sd2***,또 오시는 군요,"['또', '오시']"
216,lik***,현재 102위요ㅋㅋ,"['현재', '위']"
217,zod***,성지순례 왔어요,"['성지순례', '오다']"
218,ghd***,저도 페북에서 보고왔습니다ㅋㅋㅋㅋ 커플되게 해주세요,"['저', '페북', '보고오다', '커플', '해주다']"
219,cak***,올해도 어김없이 벌써 차트인리얼 민요,"['올해', '벌써', '차트', '리얼', '민요']"
220,가을무지개,결국엔 중1 교과서에 실렸습니다,"['중', '교과서', '실리다']"
221,gkd***,도입부 부터 설렌다 이게 봄이 아니면 뭐야ㅠㅠ💕💕,"['도입', '부', '부터', '설레다', '이', '봄', '아니다', '뭐']"
