,youtube_id,comment,like_num
169,CcJimin,It’s been a year since this song has been released. ( Today is April 2nd),3개
170,saraariel,かわいい〜❤︎❤︎,4개
171,솜이솜사탕,바보선샤인완벽한하루를,1개
172,김치찌개,"이 노래 나왔을때 행복했는데,, 새학기 시작하고 벚꽃 펴셔 새친구들이랑 눈누나나 같이 하교할때 그 따스한 햇빛 아래서 단체사진 찍고 그랬었는데... 이노래들으면 그 배경만 생각나네 작년으로 돌아가고싶다",6개
173,Okita,"She is too pretty...
I don't know why but every Bol4 songs makes me feel energetic and happy. Sometimes sad too, but in good way. Anyway, guys they're really talented. Please support them! 🌸🍃",611개
174,SucoDeUva,Amo essa música! É  tão  linda ♡♡,0개
175,김효주,로불럭스에서 나 커플이였던거 기억이난다,1개
176,키어런티어니,뮤비 너무 귀엽다 진짜,3개
177,식위직공무원,원래 봄에는 벚꽃엔딩이었다. 이제는 나만 봄이다.,1개
178,Mustgowon,"Sleeping while listening to BOL4'S amazing songs 👌
Sleeping ON BOL4'S Songs ❌",134개
179,SuchayaPinijmongkol,The best spring song of all time,2개
180,EmmyMercadoCeleste,Their songs are so ADDICTIVE,2개
181,Oasu,"1 year later, still love it !",1개
182,슈,진짜 봄이랑 어울리는군!!!,1개
183,LoveMySelf,다른 뮤비와는 다르게 사람들이 이해하기힘든 뮤비 스토리보다 이렇게 누구나 이해되고 시각적으로도 감정이입 할 수 있는 뮤비로 만드니까 마음에 들어요 ㅎㅎ,71개
184,라이엇,지금에 코로나를 예상한 시대를 앞서간곡 ㄷㄷ,1개
185,ValerieViesca,"I really love this mv, it's kinda addicting i swear😩",0개
186,꾸루율,"가사가 생각 안나서 ""바보 선샤인"" 검색하니까 바로나오네ㅋㅋㅋㅋㅋㅋㅋ",8개
187,이은서,날개로 날아다녀요,1개
188,Child,"I hope they release the arrow head sticks for the concert just for this song.

Edit: OMG Thank you so much for so many likes! I hope Bolbbalgan4 saw this comment.",755개
189,HaHe,I love the wing,1개
190,FhionaDominiEscurzon,Wait?! Her voice is similar to IU's voice! 🤦🤦,1개
191,IyliaPotato,Jiyoung look alike like Dahyun 😭😭,1개
