,youtube_id,comment,like_num
134,j7411shin,개좋다 풋풋행,1개
135,최은지,"봄이 왔음을 알리는 버스커버스커 노래..진짜 나한테는 봄이 언제 오려나싶지만 아까 카페에서 듣는데 괜히 간질거리는게 진짜 봄이다!!!싶은^^
결론, 버스커버스커 노래 짱♡♡♡♡♡",0개
136,벤츠,목소리가 좋구나....,3개
137,hitaro1000,nc song...!!,0개
138,,"솔직히 이 노래 노래도 진짜 좋은데 ""조아조아!! 하모니카 솔로!!!!"" 이거 들으려고 들어옴,,,,ㅋㅋㅋㅋㅋㅋㅋㅋ",1개
139,kIMGRinELL,썸녀랑 느낀 감정과 감성들 그때 그 기분을 한껏 헝클어트려ㅠㅠ,2개
140,현,칫 2주 늦었나 못나가니께 계절 개념이 사라졌어,2개
141,임정빈,반주... 가슴이 웅장해진다,0개
142,뇨뇽이,노래가 아주 좋아연,1개
143,으헤헤헤,처음에 들었을 땐 겁나 이상하다고 느꼈는데 지금 와서 들으니까... 벚꽃엔딩보다 좋아진 건 참으로... 하아,0개
144,이태은,봄만 되면 생각나는 노래^^,6개
145,김예솜,슈돌보다가 이노래 나와서 들으러왔습니다ㅜ 이노래 들으면 초등학생때 밤에 가족하고 놀러갔던 벚꽃거리?가 생각나요 너무 좋았는데ㅜㅜㅜ,0개
146,악마충전모배채널,아..... 노래좋다 마음이 진정되는 듯 ㅋㅋㅋ,0개
147,아아아,2020,1개
148,김도혜,와 대박 진짜로 좋아,1개
149,GalaxyVillage,봄이 다가온다,1개
150,세바스찬,이게 6년 지났나... 그럼 내가 초등학교3학년때네 내기 만약 어른되고 봄이 사라졌다면 어린아이들에게 이노래를 들려주며 이게 봄이라고 말해주고싶다(누구의 말좀 빌려 썻습니다 헿),0개
151,이정,단대호수걷게해주세요🙏,0개
152,1615오유,"이게 진짜 노래지
한국노래가 다 이러면 얼마나 좋을까",0개
153,김벌레,설마 2021년 봄에도 내가 다시 들으러 올까,0개
154,계란,음이 너무 좋아요 👍,3개
155,안티나,버스커 당신은.... 도덕책,4개
156,killerbees,귀 간지럽다,1개
