,melon_id,댓글,processed_comment
603,유정원,차트 순위 85위 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 역시 벚꽃좀비 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"['차트', '순위', '위', '역시', '벚꽃', '좀비']"
604,곰옴탱이,90위네 ㅋㅋㅋㅋ,['위']
605,unknown3637,90등 차트진입ㄷㄷ 올해도...,"['차트', '진입', '올해']"
606,욜래방구,온다 봄캐롤,"['오다', '봄', '캐롤']"
607,GF_럽친,"지금보니까 2012년 연간 3위부터 시작해서
2015년까지 장장 4년동안 연간차트인을 했네...
진짜 미쳤다 벚꽃좀비","['금보', '연간', '위', '시작', '하다', '연간', '차트', '하다', '진짜', '미치다', '벚꽃', '좀비']"
608,E.Soooo,봄 좀비가 슬슬 올라오고 있군,"['봄', '좀비', '슬슬', '올라오다', '있다']"
609,안녀오옹,데일리 감상자수 11만 ㄷㄷ,"['데', '일리', '감상', '자수']"
610,탈퇴한 회원,"지금 눈덩이 휘날리는데
벚꽃엔딩은 무슨~~~~~
빨리 노래 내려라 !!!!!!!","['지금', '눈덩이', '휘날리다', '벚꽃', '엔딩', '무슨', '노래', '내다']"
611,BestII,여수밤바다랑 봄날이나 들어야겠다ㅋㅋㅋ,"['밤', '바다', '봄날', '들다']"
612,이래도그냥지나갈꼬야,벚꽃 연금이 그 뜻이구나,"['벚꽃', '연금', '그', '뜻']"
613,아이팟,봄날 코코밥따위의 노래들이 이 노래 좋아요수를 넘은게 어이없기만 하다.,"['봄날', '코코', '밥', '따위', '노래', '이', '노래', '좋다', '수', '넘다', '어이없다', '하다']"
614,웅엥옹0.0,봄되니까 슬슬 생각나서 들으러 왔어영ㅎㅎ,"['봄', '되다', '슬슬', '생각나다', '들다', '오다', '영']"
